CountryID,Attribute,Value
COL,agricultural,0
COL,construction,0
COL,e-waste,252200
COL,hazardous,270146.3
COL,industrial,0
COL,medical,27704
COL,domestic,12150120
COM,agricultural,0
COM,construction,0
COM,e-waste,600
COM,hazardous,0
COM,industrial,0
COM,medical,0
COM,domestic,91013
CPV,agricultural,0
CPV,construction,0
CPV,e-waste,2400
CPV,hazardous,3548.92
CPV,industrial,0
CPV,medical,76
CPV,domestic,132555
CRI,agricultural,0
CRI,construction,800000
CRI,e-waste,35800
CRI,hazardous,0
CRI,industrial,0
CRI,medical,0
CRI,domestic,1460000
CUB,agricultural,0
CUB,construction,0
CUB,e-waste,0
CUB,hazardous,565216
CUB,industrial,0
CUB,medical,0
CUB,domestic,2692691.98
CUW,agricultural,0
CUW,construction,0
CUW,e-waste,0
CUW,hazardous,0
CUW,industrial,0
CUW,medical,0
CUW,domestic,24703.8132
CYM,agricultural,0
CYM,construction,0
CYM,e-waste,0
CYM,hazardous,0
CYM,industrial,0
CYM,medical,0
CYM,domestic,60000
CYP,agricultural,112018
CYP,construction,1377767
CYP,e-waste,18137
CYP,hazardous,173377
CYP,industrial,0
CYP,medical,21404
CYP,domestic,769485.125
CZE,agricultural,583264
CZE,construction,13379041
CZE,e-waste,79581
CZE,hazardous,1162342
CZE,industrial,0
CZE,medical,797432
CZE,domestic,5334854.5
DEU,agricultural,15011037
DEU,construction,275413069
DEU,e-waste,2465085
DEU,hazardous,21812660
DEU,industrial,0
DEU,medical,8821344
DEU,domestic,50627876
DJI,agricultural,0
DJI,construction,0
DJI,e-waste,900
DJI,hazardous,0
DJI,industrial,0
DJI,medical,0
DJI,domestic,114997.249
DMA,agricultural,0
DMA,construction,0
DMA,e-waste,0
DMA,hazardous,627
DMA,industrial,0
DMA,medical,0
DMA,domestic,13176
DNK,agricultural,1087281
DNK,construction,11402900
DNK,e-waste,168614
DNK,hazardous,1718394
DNK,industrial,0
DNK,medical,317413
DNK,domestic,4910858.5
DOM,agricultural,0
